LOGIN,SYMBOL,TICKET,PROFIT,loss,win,win_rate
53573,EURGBP,18,-1043.63,12,6,0.3333333333333333
53573,EURJPY,25,886.59,10,15,0.6
53573,EURUSD,576,-8616.5,276,300,0.5208333333333334
53573,GBPCHF,10,-530.32,6,4,0.4
53573,GBPJPY,49,-3731.5299999999997,30,19,0.3877551020408163
53573,GBPUSD,74,631.65,34,40,0.5405405405405406
53573,USDCAD,15,349.07,7,8,0.5333333333333333
53573,USDCHF,151,-1511.9799999999998,77,74,0.4900662251655629
53573,USDJPY,84,58.43999999999998,40,44,0.5238095238095238
53573,XAGUSD,13,-2358.0,7,6,0.46153846153846156
53573,XAUUSD,282,5409.73,148,134,0.475177304964539
53590,AUDCAD,1,-23.0,1,0,0.0
53590,AUDJPY,3,0.5999999999999988,2,1,0.3333333333333333
53590,AUDNZD,24,545.9399999999999,13,11,0.4583333333333333
53590,AUDUSD,33,-141.13,11,22,0.6666666666666666
53590,CADJPY,5,-67.0,4,1,0.2
53590,CHFJPY,10,87.66999999999999,6,4,0.4
53590,EURAUD,37,-2045.6000000000001,17,20,0.5405405405405406
53590,EURCAD,3,-111.17000000000002,1,2,0.6666666666666666
53590,EURCHF,6,120.33,1,5,0.8333333333333334
53590,EURGBP,9,-15.310000000000002,3,6,0.6666666666666666
53590,EURJPY,25,-920.8,14,11,0.44
53590,EURUSD,1870,-7105.56,745,1125,0.6016042780748663
53590,GBPCHF,5,-40.879999999999995,5,0,0.0
53590,GBPJPY,363,-1614.42,157,206,0.5674931129476584
53590,GBPUSD,418,-5919.44,187,231,0.5526315789473685
53590,NZDUSD,2,-15.6,2,0,0.0
53590,USDCAD,133,823.8199999999999,39,94,0.706766917293233
53590,USDCHF,140,605.92,58,82,0.5857142857142857
53590,USDJPY,276,-3043.12,139,137,0.4963768115942029
53590,XAUUSD,13,60.13,2,11,0.8461538461538461
53641,AUDNZD,1,-15.98,1,0,0.0
53641,EURCAD,1,-8.96,1,0,0.0
53641,EURUSD,79,105.8,22,57,0.7215189873417721
53641,GBPUSD,32,-121.0,7,25,0.78125
53641,USDCHF,6,17.22,1,5,0.8333333333333334
53641,USDJPY,7,39.42,2,5,0.7142857142857143
53709,AUDJPY,407,-1694.63,273,134,0.32923832923832924
53709,AUDUSD,61,-248.0,41,20,0.32786885245901637
53709,EURJPY,4,-60.85,2,2,0.5
53709,EURUSD,108,-901.37,60,48,0.4444444444444444
53709,GBPCHF,2,-21.99,1,1,0.5
53709,GBPJPY,345,-5466.86,228,117,0.3391304347826087
53709,GBPUSD,553,-1513.25,307,246,0.4448462929475588
53709,NZDUSD,14,-10.0,8,6,0.42857142857142855
53709,USDCAD,1,-6.82,1,0,0.0
53709,USDCHF,140,-381.19,91,49,0.35
53709,USDJPY,1,-9.47,1,0,0.0
53811,EURUSD,711,-252.26,264,447,0.6286919831223629
53811,GBPUSD,8,8.2,3,5,0.625
53811,USDJPY,1,-0.23,1,0,0.0
53863,AUDCAD,5,-3253.4100000000003,5,0,0.0
53863,AUDJPY,12,3143.27,4,8,0.6666666666666666
53863,AUDNZD,2,-138.74,2,0,0.0
53863,AUDUSD,14,-7762.0,10,4,0.2857142857142857
53863,CADJPY,10,-2326.02,5,5,0.5
53863,CHFJPY,5,-576.61,4,1,0.2
53863,EURAUD,13,1860.6499999999999,5,8,0.6153846153846154
53863,EURCAD,5,-10.000000000000002,1,4,0.8
53863,EURCHF,7,1502.75,4,3,0.42857142857142855
53863,EURGBP,8,150.52000000000004,4,4,0.5
53863,EURJPY,28,-9173.550000000001,12,16,0.5714285714285714
53863,EURUSD,432,19969.62,171,261,0.6041666666666666
53863,GBPCHF,7,-1961.6,4,3,0.42857142857142855
53863,GBPJPY,244,-2741.030000000001,95,149,0.610655737704918
53863,GBPUSD,56,-6930.8,25,31,0.5535714285714286
53863,NZDUSD,8,-9164.5,7,1,0.125
53863,USDCAD,19,5412.08,12,7,0.3684210526315789
53863,USDCHF,34,-2562.67,15,19,0.5588235294117647
53863,USDJPY,27,4121.2300000000005,16,11,0.4074074074074074
53902,AUDUSD,3,-15.0,2,1,0.3333333333333333
53902,EURGBP,1,195.74,0,1,1.0
53902,EURUSD,509,-5102.9,211,298,0.5854616895874263
53902,GBPUSD,366,-13594.5,178,188,0.5136612021857924
53902,USDCAD,36,-775.8000000000002,8,28,0.7777777777777778
53902,USDCHF,2,-11.63,2,0,0.0
53902,USDJPY,3,299.24,1,2,0.6666666666666666
53933,AUDJPY,12,1.7600000000000033,4,8,0.6666666666666666
53933,AUDNZD,1,-1.39,1,0,0.0
53933,AUDUSD,52,-48.74,26,26,0.5
53933,CADJPY,13,-27.78,6,7,0.5384615384615384
53933,CHFJPY,2,-21.62,1,1,0.5
53933,EURAUD,2,-0.3200000000000003,1,1,0.5
53933,EURCHF,1,19.15,0,1,1.0
53933,EURGBP,10,-26.2,7,3,0.3
53933,EURJPY,152,-582.36,79,73,0.48026315789473684
53933,EURUSD,401,-1210.67,217,184,0.45885286783042395
53933,GBPCHF,5,-40.06,2,3,0.6
53933,GBPJPY,157,-2272.24,80,77,0.49044585987261147
53933,GBPUSD,382,-2352.31,220,162,0.42408376963350786
53933,NZDUSD,33,-132.71,18,15,0.45454545454545453
53933,USDCAD,25,-151.84,19,6,0.24
53933,USDCHF,36,-261.23,22,14,0.3888888888888889
53933,USDJPY,40,-158.88,27,13,0.325
53933,XAGUSD,1,2.0,0,1,1.0
54055,AUDUSD,4,37.8,0,4,1.0
54055,EURCHF,1,1.9,0,1,1.0
54055,EURGBP,14,12.909999999999997,7,7,0.5
54055,EURJPY,2,0.41,1,1,0.5
54055,EURUSD,16,30.93,11,5,0.3125
54055,GBPJPY,17,212.47,7,10,0.5882352941176471
54055,GBPUSD,38,-164.9,17,21,0.5526315789473685
54055,USDCAD,2,-37.660000000000004,2,0,0.0
54055,USDCHF,8,-54.34,5,3,0.375
54055,USDJPY,10,69.63,4,6,0.6
54055,XAGUSD,3,-12.3,2,1,0.3333333333333333
54055,XAUUSD,7,-102.3,6,1,0.14285714285714285
54084,AUDCAD,2,-90.96000000000001,2,0,0.0
54084,AUDJPY,13,-213.85000000000002,2,11,0.8461538461538461
54084,AUDNZD,2,-21.46,2,0,0.0
54084,AUDUSD,7,-198.6,4,3,0.42857142857142855
54084,CADJPY,22,-1024.42,13,9,0.4090909090909091
54084,CHFJPY,3,19.8,1,2,0.6666666666666666
54084,EURAUD,15,-92.31,3,12,0.8
54084,EURCAD,4,-26.46,2,2,0.5
54084,EURCHF,31,-356.09000000000003,19,12,0.3870967741935484
54084,EURGBP,30,-567.45,14,16,0.5333333333333333
54084,EURJPY,191,-1264.14,124,67,0.3507853403141361
54084,EURUSD,589,-2612.5,396,193,0.32767402376910015
54084,GBPCHF,10,143.48,0,10,1.0
54084,GBPJPY,292,-4988.03,217,75,0.2568493150684932
54084,GBPUSD,278,-1409.8,186,92,0.33093525179856115
54084,NZDUSD,38,-622.0,23,15,0.39473684210526316
54084,USDCAD,72,4.969999999999984,42,30,0.4166666666666667
54084,USDCHF,29,-330.4,15,14,0.4827586206896552
54084,USDJPY,37,-51.249999999999986,16,21,0.5675675675675675
54084,XAUUSD,1,-19.0,1,0,0.0
54133,AUDNZD,1,-13.56,1,0,0.0
54133,AUDUSD,127,4213.95,23,104,0.8188976377952756
54133,EURAUD,1,7.22,0,1,1.0
54133,EURCAD,3,-95.38,1,2,0.6666666666666666
54133,EURUSD,26,-395.88,18,8,0.3076923076923077
54133,GBPUSD,82,-949.2,54,28,0.34146341463414637
54133,NZDUSD,91,3024.55,13,78,0.8571428571428571
54133,USDCAD,98,2376.04,4,94,0.9591836734693877
54133,USDCHF,14,461.76,3,11,0.7857142857142857
54133,USDJPY,81,567.15,24,57,0.7037037037037037
54133,XAGUSD,97,5601.5,1,96,0.9896907216494846
54133,XAUUSD,133,7279.81,5,128,0.9624060150375939
54134,AUDUSD,3,45.0,0,3,1.0
54134,EURGBP,1,-51.05,1,0,0.0
54134,EURJPY,4,106.17,0,4,1.0
54134,EURUSD,694,-1278.92,203,491,0.707492795389049
54134,USDJPY,7,46.620000000000005,3,4,0.5714285714285714
54332,AUDUSD,65,35.2,33,32,0.49230769230769234
